,id,language,pkg_name,count,description
0,0,C++,WeightedCluster,14,C++ is a cross-platform language that can be used to create high-performance applications.
1,1,C++,scoper,14,C++ is a cross-platform language that can be used to create high-performance applications.
2,2,C++,mrfDepth,14,C++ is a cross-platform language that can be used to create high-performance applications.
3,3,C++,sbmSDP,14,C++ is a cross-platform language that can be used to create high-performance applications.
4,4,C++,psd,14,C++ is a cross-platform language that can be used to create high-performance applications.
5,5,C++,corpustools,14,C++ is a cross-platform language that can be used to create high-performance applications.
6,6,C++,moveWindSpeed,14,C++ is a cross-platform language that can be used to create high-performance applications.
7,7,C++,RmecabKo,14,C++ is a cross-platform language that can be used to create high-performance applications.
8,8,C++,acebayes,14,C++ is a cross-platform language that can be used to create high-performance applications.
9,9,C++,RClickhouse,14,C++ is a cross-platform language that can be used to create high-performance applications.
10,10,C++,Quartet,14,C++ is a cross-platform language that can be used to create high-performance applications.
11,11,C++,lpirfs,14,C++ is a cross-platform language that can be used to create high-performance applications.
12,12,C++,Rserve,14,C++ is a cross-platform language that can be used to create high-performance applications.
13,13,C++,urltools,14,C++ is a cross-platform language that can be used to create high-performance applications.
14,14,CSS,EML,3,CSS stands for Cascading Style Sheet and it's a programming language used to define the style of a website together with HTML.
15,15,CSS,modelDown,3,CSS stands for Cascading Style Sheet and it's a programming language used to define the style of a website together with HTML.
16,16,CSS,dashboard,3,CSS stands for Cascading Style Sheet and it's a programming language used to define the style of a website together with HTML.
17,17,HTML,gdata,26,HTML (HyperText Markup Language) is the most basic building block of the Web. It defines the meaning and structure of web content.
18,18,HTML,plotdap,26,HTML (HyperText Markup Language) is the most basic building block of the Web. It defines the meaning and structure of web content.
19,19,HTML,squid,26,HTML (HyperText Markup Language) is the most basic building block of the Web. It defines the meaning and structure of web content.
20,20,HTML,Luminescence,26,HTML (HyperText Markup Language) is the most basic building block of the Web. It defines the meaning and structure of web content.
21,21,HTML,geoknife,26,HTML (HyperText Markup Language) is the most basic building block of the Web. It defines the meaning and structure of web content.
22,22,HTML,tint,26,HTML (HyperText Markup Language) is the most basic building block of the Web. It defines the meaning and structure of web content.
23,23,HTML,pseval,26,HTML (HyperText Markup Language) is the most basic building block of the Web. It defines the meaning and structure of web content.
24,24,HTML,fingertipscharts,26,HTML (HyperText Markup Language) is the most basic building block of the Web. It defines the meaning and structure of web content.
25,25,HTML,stationery,26,HTML (HyperText Markup Language) is the most basic building block of the Web. It defines the meaning and structure of web content.
26,26,HTML,subscreen,26,HTML (HyperText Markup Language) is the most basic building block of the Web. It defines the meaning and structure of web content.
27,27,HTML,phonics,26,HTML (HyperText Markup Language) is the most basic building block of the Web. It defines the meaning and structure of web content.
28,28,HTML,HiClimR,26,HTML (HyperText Markup Language) is the most basic building block of the Web. It defines the meaning and structure of web content.
29,29,HTML,memo,26,HTML (HyperText Markup Language) is the most basic building block of the Web. It defines the meaning and structure of web content.
30,30,HTML,interlineaR,26,HTML (HyperText Markup Language) is the most basic building block of the Web. It defines the meaning and structure of web content.
31,31,HTML,corrr,26,HTML (HyperText Markup Language) is the most basic building block of the Web. It defines the meaning and structure of web content.
32,32,HTML,DatabionicSwarm,26,HTML (HyperText Markup Language) is the most basic building block of the Web. It defines the meaning and structure of web content.
33,33,HTML,tangram,26,HTML (HyperText Markup Language) is the most basic building block of the Web. It defines the meaning and structure of web content.
